id,year,teams,total_pitchers,average_age,runs_per_game,ERA,games_played,games_finished,complete_game,shutouts,shutouts_team,saves,innings_pitched,hits,runs,earned_runs,home_runs,walks,intentional_walks,strikeouts,hit_batter,balks,wild_pitches,batters_faced,WHIP,BA_bip,hits_9,homeruns_9,walks_9,strikeouts_9,strikeout_walk,errors
100,1922,24,269,27.4,4.99,4.15,3040,1234,1583,171,173,190,27028,29900,15156,12469,1288,8826,,9339,782,55,448,117859,1.433,0.297,10,0.4,2.9,3.1,1.06,4303
101,1921,24,280,27.1,4.88,3.99,3131,1185,1717,161,170,209,27867,30665,15264,12354,1137,8627,,9697,838,50,407,120889,1.41,0.298,9.9,0.4,2.8,3.1,1.12,4885
102,1920,24,276,27,4.4,3.47,2982,1072,1734,211,216,169,26795,27602,13113,10327,722,8403,,9438,711,50,469,112525,1.344,0.288,9.3,0.2,2.8,3.2,1.12,4527
103,1919,16,197,27.6,3.87,3.07,2236,929,1301,189,192,100,20109.1,19599,8655,6849,447,5981,,6870,533,43,374,82721,1.272,0.285,8.8,0.2,2.7,3.1,1.15,3186
104,1918,16,203,27.2,3.63,2.77,2032,749,1280,196,204,113,18393,17064,7380,5656,235,5728,,5875,458,23,299,75732,1.239,0.276,8.3,0.1,2.8,2.9,1.03,3064
105,1917,16,175,26.7,3.58,2.68,2494,1113,1380,248,258,163,22503.2,20351,8932,6706,335,6888,,8641,577,38,415,91106,1.21,0.275,8.1,0.1,2.8,3.5,1.25,3746
106,1916,16,187,26.6,3.56,2.72,2494,1181,1314,233,244,182,22511.1,20311,8888,6800,383,7088,,9525,625,50,500,90990,1.217,0.276,8.1,0.2,2.8,3.8,1.34,3783
107,1915,24,285,26.7,3.81,2.9,3728,1666,2057,348,359,237,33325.1,30459,14215,10746,635,11123,,14115,1010,69,734,135457,1.248,0.279,8.2,0.2,3,3.8,1.27,5876
108,1914,24,264,26.5,3.87,2.91,3758,1681,2067,341,357,238,33509,31108,14530,10823,710,11145,,14953,1000,50,799,136801,1.261,0.284,8.4,0.2,3,4,1.34,6438
109,1913,16,229,26.3,4.04,3.07,2468,1143,1319,196,204,162,22067.2,21025,9965,7517,470,7322,,9459,691,50,516,91617,1.285,0.288,8.6,0.2,3,3.9,1.29,4045
110,1912,16,238,26.5,4.52,3.37,2464,1022,1432,160,166,134,21880,21991,11148,8189,442,7662,,9786,719,45,560,91716,1.355,0.3,9,0.2,3.2,4,1.28,4470
111,1911,16,213,26.8,4.51,3.36,2474,1034,1438,167,172,137,22044,21894,11157,8242,514,7917,,9885,837,49,539,91535,1.352,0.298,8.9,0.2,3.2,4,1.25,4535
112,1910,16,202,27.1,3.84,2.77,2498,951,1551,233,242,125,22373.2,20328,9589,6882,361,7487,,9698,805,34,540,89841,1.243,0.279,8.2,0.1,3,3.9,1.3,4440
113,1909,16,203,27,3.55,2.53,2482,868,1619,273,279,114,22213,19641,8811,6244,259,6663,,9355,767,38,565,88590,1.184,0.273,8,0.1,2.7,3.8,1.4,4489
114,1908,16,172,27.9,3.38,2.37,2488,810,1677,289,296,108,22310,19242,8421,5866,267,6119,,9110,768,30,471,88857,1.137,0.267,7.8,0.1,2.5,3.7,1.49,4234
115,1907,16,161,28.1,3.53,2.5,2466,637,1828,280,290,90,21823.1,19657,8711,6068,244,6312,,8696,775,20,469,87494,1.19,0.273,8.1,0.1,2.6,3.6,1.38,4241
116,1906,16,155,27.9,3.62,2.66,2454,546,1910,277,284,86,21706,19701,8883,6409,261,6258,,9098,770,28,462,87112,1.196,0.276,8.2,0.1,2.6,3.8,1.45,4243
117,1905,16,144,27.6,3.9,2.82,2474,499,1976,224,231,44,21980.2,20219,9651,6887,338,6272,,9569,830,22,541,88956,1.205,0.277,8.3,0.1,2.6,3.9,1.53,4539
118,1904,16,129,27.5,3.73,2.66,2496,308,2186,249,251,39,21998.2,20358,9307,6505,331,5742,,9303,801,47,508,90038,1.186,0.275,8.3,0.1,2.3,3.8,1.62,4704
119,1903,16,141,27.2,4.44,3.11,2228,323,1909,167,168,49,19643,19770,9899,6792,335,5445,,7966,764,12,447,81634,1.284,0.289,9.1,0.2,2.5,3.6,1.46,4679
120,1902,16,160,26.6,4.44,3.17,2230,276,1954,158,160,33,19726.1,20350,9896,6948,354,5442,,6656,770,16,412,82560,1.307,0.289,9.3,0.2,2.5,3,1.22,4749
121,1901,16,139,26.4,4.99,3.49,2218,305,1913,122,124,35,19543,20957,11069,7573,455,5465,,6977,873,18,467,83506,1.352,0.294,9.7,0.2,2.5,3.2,1.28,5331
122,1900,8,70,27.1,5.22,3.69,1136,201,934,68,68,13,9914,10925,5932,4070,254,3034,,2697,530,16,220,42723,1.408,0.295,9.9,0.2,2.8,2.4,0.89,2757
123,1899,12,119,26.3,5.25,3.85,1842,249,1593,89,90,33,15888.1,17741,9672,6793,352,4979,,3867,894,61,361,68816,1.43,0.297,10,0.2,2.8,2.2,0.78,4457
124,1898,12,113,25.8,4.96,3.6,1840,231,1609,85,87,17,15954.2,16955,9129,6387,299,5092,,4247,888,15,381,68706,1.382,0.286,9.6,0.2,2.9,2.4,0.83,4387
125,1897,12,98,25.5,5.91,4.3,1614,252,1362,49,51,26,14004,16523,9536,6693,368,4729,,3734,750,8,401,62211,1.518,0.307,10.6,0.2,3,2.4,0.79,4029
126,1896,12,108,25.8,6.04,4.36,1584,278,1306,55,57,28,13762,16141,9560,6665,404,4854,,3523,636,4,411,61138,1.526,0.305,10.6,0.3,3.2,2.3,0.73,4081
127,1895,12,105,25.4,6.6,4.77,1594,307,1287,46,46,44,13807,16827,10514,7322,488,5120,,3623,668,4,396,62634,1.59,0.31,11,0.3,3.3,2.4,0.71,4619
128,1894,12,115,25.3,7.39,5.33,1596,297,1299,29,31,37,13831.1,17809,11796,8187,629,5870,,3333,602,3,488,64116,1.712,0.32,11.6,0.4,3.8,2.2,0.57,4853
129,1893,12,98,25.1,6.57,4.66,1570,276,1294,43,43,33,13864.1,15913,10315,7180,460,6143,,3342,639,6,521,63724,1.591,0.291,10.3,0.3,4,2.2,0.54,4581
130,1892,12,92,25.3,5.11,3.28,1836,213,1623,89,90,24,16106.2,15643,9382,5878,417,6178,,5978,561,1,603,70683,1.355,0.265,8.7,0.2,3.5,3.3,0.97,5580
